test_type,context,metric,comparison,bonf_p,sig_95,sig_99
between_configs,all_data,roc_auc,config_i vs config_ii,0.00643859711730407,True,True
between_configs,all_data,roc_auc,config_i vs config_iii,0.003554085570408173,True,True
between_configs,all_data,roc_auc,config_i vs config_iv,1.0399839865194633e-05,True,True
between_configs,all_data,roc_auc,config_ii vs config_iii,0.0003464498905724763,True,True
between_configs,all_data,roc_auc,config_ii vs config_iv,1.0360636593677988e-05,True,True
between_configs,all_data,roc_auc,config_iii vs config_iv,0.1598075918269859,False,False
between_configs,all_data,f1,config_i vs config_ii,0.003850877220675534,True,True
between_configs,all_data,f1,config_i vs config_iii,0.011236245507057145,True,False
between_configs,all_data,f1,config_i vs config_iv,0.00012196370728538479,True,True
between_configs,all_data,f1,config_ii vs config_iii,0.28923234994744695,False,False
between_configs,all_data,f1,config_ii vs config_iv,0.01162191851948851,True,False
between_configs,all_data,f1,config_iii vs config_iv,1.0,False,False
between_configs,all_data,precision,config_i vs config_ii,0.0009873903239141467,True,True
between_configs,all_data,precision,config_i vs config_iii,1.0,False,False
between_configs,all_data,precision,config_i vs config_iv,0.05652741952102473,False,False
between_configs,all_data,precision,config_ii vs config_iii,0.16801106863823909,False,False
between_configs,all_data,precision,config_ii vs config_iv,1.0,False,False
between_configs,all_data,precision,config_iii vs config_iv,0.43060812453532116,False,False
between_configs,all_data,tp,config_i vs config_ii,0.0006203718148610289,True,True
between_configs,all_data,tp,config_i vs config_iii,0.0005319116537860036,True,True
between_configs,all_data,tp,config_i vs config_iv,1.0315055483262331e-05,True,True
between_configs,all_data,tp,config_ii vs config_iii,0.0005772286229784995,True,True
between_configs,all_data,tp,config_ii vs config_iv,1.5295837203677324e-05,True,True
between_configs,all_data,tp,config_iii vs config_iv,1.0,False,False
between_configs,all_data,fp,config_i vs config_ii,0.7837682922107451,False,False
between_configs,all_data,fp,config_i vs config_iii,0.002818371737191135,True,True
between_configs,all_data,fp,config_i vs config_iv,1.4042719572810544e-05,True,True
between_configs,all_data,fp,config_ii vs config_iii,0.0031615500816719894,True,True
between_configs,all_data,fp,config_ii vs config_iv,1.1432348818598231e-05,True,True
between_configs,all_data,fp,config_iii vs config_iv,1.0,False,False
between_configs,all_data,tn,config_i vs config_ii,0.7837682922107451,False,False
between_configs,all_data,tn,config_i vs config_iii,0.002818371737191135,True,True
between_configs,all_data,tn,config_i vs config_iv,1.4042719572810544e-05,True,True
between_configs,all_data,tn,config_ii vs config_iii,0.0031615500816719894,True,True
between_configs,all_data,tn,config_ii vs config_iv,1.1432348818598231e-05,True,True
between_configs,all_data,tn,config_iii vs config_iv,1.0,False,False
between_configs,all_data,fn,config_i vs config_ii,0.0006203718148610289,True,True
between_configs,all_data,fn,config_i vs config_iii,0.0005319116537860036,True,True
between_configs,all_data,fn,config_i vs config_iv,1.0315055483262331e-05,True,True
between_configs,all_data,fn,config_ii vs config_iii,0.0005772286229784995,True,True
between_configs,all_data,fn,config_ii vs config_iv,1.5295837203677324e-05,True,True
between_configs,all_data,fn,config_iii vs config_iv,1.0,False,False
between_configs,all_features,roc_auc,config_i vs config_ii,0.008885516666229757,True,True
between_configs,all_features,roc_auc,config_i vs config_iii,0.08624798444583891,False,False
between_configs,all_features,roc_auc,config_i vs config_iv,0.000346606424104451,True,True
between_configs,all_features,roc_auc,config_ii vs config_iii,0.0009651046894214826,True,True
between_configs,all_features,roc_auc,config_ii vs config_iv,3.284816877563139e-05,True,True
between_configs,all_features,roc_auc,config_iii vs config_iv,0.679372761077455,False,False
between_configs,all_features,f1,config_i vs config_ii,0.48643655647741607,False,False
between_configs,all_features,f1,config_i vs config_iii,0.015442293450015585,True,False
between_configs,all_features,f1,config_i vs config_iv,0.015212955297322299,True,False
between_configs,all_features,f1,config_ii vs config_iii,0.015301305830779287,True,False
between_configs,all_features,f1,config_ii vs config_iv,0.14903001449168857,False,False
between_configs,all_features,f1,config_iii vs config_iv,1.0,False,False
between_configs,all_features,tp,config_i vs config_ii,0.12133777715247793,False,False
between_configs,all_features,tp,config_i vs config_iii,0.000129261906047325,True,True
between_configs,all_features,tp,config_i vs config_iv,1.8104524896648663e-05,True,True
between_configs,all_features,tp,config_ii vs config_iii,0.0007778823558192037,True,True
between_configs,all_features,tp,config_ii vs config_iv,3.4372881130409706e-05,True,True
between_configs,all_features,tp,config_iii vs config_iv,1.0,False,False
between_configs,all_features,fp,config_i vs config_ii,1.0,False,False
between_configs,all_features,fp,config_i vs config_iii,0.0026487204520865234,True,True
between_configs,all_features,fp,config_i vs config_iv,7.048722919376658e-05,True,True
between_configs,all_features,fp,config_ii vs config_iii,0.0026123062692743775,True,True
between_configs,all_features,fp,config_ii vs config_iv,6.422425673204834e-05,True,True
between_configs,all_features,fp,config_iii vs config_iv,1.0,False,False
between_configs,all_features,tn,config_i vs config_ii,1.0,False,False
between_configs,all_features,tn,config_i vs config_iii,0.0026487204520865234,True,True
between_configs,all_features,tn,config_i vs config_iv,7.048722919376658e-05,True,True
between_configs,all_features,tn,config_ii vs config_iii,0.0026123062692743775,True,True
between_configs,all_features,tn,config_ii vs config_iv,6.422425673204834e-05,True,True
between_configs,all_features,tn,config_iii vs config_iv,1.0,False,False
between_configs,all_features,fn,config_i vs config_ii,0.12133777715247793,False,False
between_configs,all_features,fn,config_i vs config_iii,0.000129261906047325,True,True
