tab1,tab2,tab3,tab4,tab5,tab6,tab7,tab8,tab9,tab10,tab11,tab12,tab13,tab14,tab15,tab16,tab17,tab18,tab19,tab20,tab21,tab22,tab23,tab24,tab25,tab26,tab27,tab28,tab29,tab30,tab31,tab32,tab33,tab34,tab35,tab36,tab37,tab38,tab39,tab40,tab41,tab42,tab43,tab44,tab45,tab46,tab47,tab48,tab49,tab50,tab51,tab52,tab53,tab54,tab55,tab56,tab57,tab58,tab59,tab60,tab61,tab62,tab63,tab64,tab65,tab66,tab67,tab68,tab69,tab70,tab71,tab72,tab73,tab74,tab75,tab76,tab77,tab78,tab79,tab80,tab81,tab82,tab83,tab84,tab85,tab86,tab87,tab88,tab89,tab90,tab91,tab92,tab93,tab94,tab95,tab96,tab97,tab98,tab99,tab100,tab101,tab102,tab103,tab104,tab105,tab106,tab107,tab108,tab109,tab110,tab111,tab112,tab113,tab114,tab115,tab116,tab117,tab118,tab119,tab120,tab121,tab122,tab123,tab124,tab125,tab126,tab127,tab128,tab129,tab130,tab131,tab132,tab133,tab134,tab135,tab136,tab137,tab138,tab139,tab140,tab141,tab142,tab143,tab144,tab145,tab146,tab147,tab148,tab149,tab150,tab151,tab152,tab153,tab154,tab155,tab156,tab157,tab158,tab159,tab160,tab161,tab162,tab163,tab164,tab165,tab166,tab167,tab168,tab169,tab170,tab171,tab172,tab173,tab174,tab175,tab176,tab177,tab178,tab179,tab180,tab181,tab182,tab183,tab184,tab185,tab186,tab187,tab188,tab189,tab190,tab191,tab192,label
-0.8270526,0.4990725,0.24640872,-0.1328887,0.3387784,0.69199663,-0.18102634,-0.04385853,0.2672486,1.9742107,-1.5070194,0.409575,0.03824834,-1.0704312,1.2593153,0.61340034,-0.9247861,0.9045119,-0.09625209,1.0128273,-0.903072,1.4173008,0.46971172,1.3730924,1.0867027,0.814916,0.048000023,-0.40295237,-0.6344593,-1.250301,0.25641617,-0.6185247,-0.6544366,-0.7783848,1.4949265,0.79485124,-0.02969774,1.7048094,1.9670137,-1.7519354,-0.4629308,-0.68772614,1.8053657,-1.2336782,1.0688167,-0.14125985,-0.61216354,-0.856777,0.6449704,-1.1248572,-0.83047116,-1.4045146,-0.094362624,-0.35643935,-0.037412304,-0.3893789,-0.41154116,-0.8087389,0.47237906,-1.5637631,1.2827349,0.8952594,0.38348106,-0.70573753,-0.31338304,1.3873208,0.863027,-0.9040477,-0.9017787,0.119829185,-0.33758226,0.90881276,0.25232273,1.3083686,-0.35513937,-0.5334841,-2.229564,2.374187,-0.07291097,-0.29934087,0.450556,-0.7957314,1.4046396,-1.26571,0.14296871,-0.6825874,-2.0146363,0.20647731,-0.11082023,-1.6812003,-2.0228972,-2.4127412,1.2003615,2.1278,1.0206696,0.30562606,-0.4621698,1.5740529,-0.48076665,-0.58084023,0.46896043,1.2010177,1.1308125,1.3029932,-0.99832445,0.6646292,-0.12799431,-0.73924863,-0.11487412,-0.5585574,-1.111883,0.15588373,-1.3619225,-0.76740795,-0.14171362,0.4548042,1.1289927,-0.36944377,0.74404675,0.82682765,-2.0167835,-1.1205732,0.7559004,1.1967984,1.0565127,-0.39687943,-0.21468048,1.0945411,1.0397545,-0.20755126,-2.0120375,0.46723127,0.23599014,0.08854845,1.5604273,-0.53201276,0.76706535,0.70927924,0.122701265,-0.54862463,-0.7629907,1.0634769,-0.21539299,-0.36109236,-1.2459564,-1.290829,0.2934067,-1.2582443,1.8806903,1.2124271,-0.8070204,-0.6377177,-0.95407766,1.2994821,-1.0006099,1.1668847,1.9366127,1.2967569,1.6328878,-1.5637653,-1.3421222,-0.5840242,-0.30717376,-0.09434273,-0.14006323,-1.1545316,0.43501833,1.0038346,-1.0415189,-0.22691713,-1.1916981,-1.7575881,-0.38624087,0.16445656,-0.8391271,-1.5685666,0.8181268,-0.52507097,1.1841662,-1.1138337,-0.09415947,0.8113158,-0.8451771,0.9573029,-0.04031976,-0.18103752,-0.079648815,1.427857,-0.5631742,0.38803732,-0.008715816,1.4796034,0
-0.51533014,1.8250638,0.42629516,0.2568614,0.6882004,0.13301358,-1.1238346,-0.17193773,0.9563147,1.5975376,-1.9165963,0.5548918,-0.5078721,0.009589866,2.157109,0.05205039,-0.25657636,1.1723078,-0.35794652,1.1175368,-1.413133,0.96654946,0.9003419,1.7591479,1.1077358,0.98288095,0.6401098,-1.3082733,-0.66969687,-1.2408694,0.7895766,-0.82576394,-1.1462529,-0.5669881,0.9585912,0.9330841,-0.14046957,1.8168365,1.1499791,-1.3700663,0.42330882,-0.6412356,1.5811166,-1.4197742,1.1334709,-0.18000662,-0.7122511,-0.92655176,-0.011732518,-1.2790694,-0.4889206,-0.8856347,0.6471785,-0.55292654,0.169845,-0.15253784,-0.5188161,-1.4144136,-0.4546672,-0.93572676,2.0957723,0.22810754,0.6773203,-0.12153327,-0.2814495,1.184754,1.4683077,-1.1153058,-0.4124299,-0.23324881,-0.4481609,0.040407255,0.05087637,1.156644,-0.20976286,-0.6698458,-1.0884873,1.3915702,-0.3117049,0.016258216,0.4800414,-0.9961619,1.7268001,-1.6516966,0.51435435,-0.17042764,-2.3594136,0.82838523,-0.24538226,-1.9053864,-1.7355995,-1.9141833,1.2398887,1.6835846,0.90017277,0.68768,-0.1516932,1.27079,-0.8155693,-0.20569763,0.97458804,0.91778076,1.0740249,0.68411463,-1.2066636,1.1001512,0.07439743,-0.31343785,-0.78032625,-0.9371252,-0.7628331,0.66616356,-0.6370187,-0.60766304,0.38393176,-0.25717202,-0.3428629,-0.5283881,0.9158691,0.31335065,-1.7462649,-0.327377,1.9431396,-0.19568162,0.68517745,0.34064597,-0.76943785,0.94926006,0.25859684,0.40379694,-1.4645683,0.2825342,0.6105787,0.7446161,1.8956841,0.0977389,1.1311845,-0.46751496,-0.5453457,-1.1217413,-1.079312,-0.011704715,-1.0993538,0.46342888,-0.8533773,-1.3537823,-0.8542684,-0.91641045,1.538548,1.2722838,-0.6159913,-1.1813134,-1.0163515,0.93514806,-0.4709945,1.1270934,2.0875027,0.99908423,1.3307174,-1.7341448,-0.2760042,-0.7965746,-0.6648989,-0.37421334,-0.7389213,-0.69908077,0.06015425,0.9750026,-0.23680806,0.30527607,-1.9979844,-1.0331672,0.17075534,-0.70075184,-1.0092535,-1.6314722,1.1491702,-0.7012791,2.0070634,-0.6530425,-0.8318113,-0.05074339,-1.3335643,1.4026746,0.030990753,1.0237166,-0.825022,1.103211,-0.5168415,0.17846845,-0.24515958,1.508177,1
0.30398345,2.0325377,0.39300743,0.5399329,1.1701522,-1.5009642,-1.3749547,-0.1493661,1.257019,-0.0826749,-0.62107426,-0.52853703,-0.80185175,0.8180743,0.9982393,-0.63029724,0.24868873,0.67265004,-0.91562676,0.23368669,-0.90887296,-0.12777437,0.6287168,0.83478236,-0.3632404,0.20191056,1.6887467,-1.1696635,-1.1585593,-0.44803685,1.6431831,0.2673516,-0.14811979,1.310019,-0.8310199,0.2637037,-0.28322625,0.6404747,-0.767543,1.5615454,1.1937909,-0.27385822,-0.82609546,0.118308835,0.21670444,1.0572718,-0.34958774,-0.26649824,-1.8236835,-1.2904841,0.18248494,1.6127454,1.1579952,0.086266264,0.27467877,-0.00280542,-0.7932248,0.23520544,-1.0432082,1.3376758,1.2730563,-1.7627556,0.2234312,0.37701565,-0.3092316,-0.3193655,0.0834943,-0.4722722,-0.1950473,-0.2998229,0.13769741,-0.5022753,0.28893846,-0.54657215,0.31754455,0.37754115,2.5177135,-1.918247,-0.66417736,0.783206,0.84948736,-1.0992482,-0.19850175,-1.2298459,0.7501271,2.0052845,0.10337179,0.005745404,-0.5322547,-0.27277285,0.68140423,1.652832,-0.041189134,-0.9224519,-0.4764629,1.3289099,-0.31312296,-0.88965166,-1.2220335,0.1235334,0.612235,-1.1593899,-0.40748107,-1.2165041,0.2683707,0.63557225,0.7553999,0.6095989,-1.4754587,0.014786276,-0.17561431,1.9205867,1.2557037,0.57959455,1.3485335,-1.2713492,-1.429557,0.15064023,1.259589,-0.15039372,0.50984764,0.9735151,2.3320858,-2.447296,-0.7596004,2.0754733,-0.33216467,-0.99658644,-1.74767,0.3537694,1.6366458,-0.4079782,0.6051868,1.6063135,0.4291767,1.5630487,0.41886798,-1.8808597,-1.0734718,-1.7906691,-0.8619082,-1.6342771,-1.1934308,1.4746063,0.6116116,-0.17009468,-1.2520229,0.6902165,-0.44535115,0.3209648,0.04614993,-0.49236488,-0.086157314,-0.87883544,1.0547711,-0.31898275,-1.0328943,-0.6302433,-0.63969517,-0.2749371,1.1867077,-1.3987362,-0.29606092,-0.1633427,-1.1319119,0.6042103,-1.2613887,0.3617864,0.37804216,1.6181469,-1.2729017,1.0320992,0.96457195,-1.0092402,-0.00090358855,0.4595448,0.34915143,0.20562392,1.2322848,1.1846936,-1.6820201,-1.9098465,-0.67876303,-0.13952212,0.10296823,2.423374,-1.514928,-1.5733081,0.14571978,-1.0793577,-0.04620714,0.036175553,1
0.08460048,2.4638014,0.23575363,0.2219613,0.78270745,-0.62555933,-1.8273379,-0.21341461,1.0452021,1.075528,-1.2304729,0.085450046,-0.90997434,0.7214186,2.433552,-0.41017735,0.0934463,1.1783419,-0.03592639,0.97252995,-1.298484,0.5380463,0.8712364,2.221952,0.8090848,1.0100074,1.5213544,-1.664909,-1.1673758,-1.2617391,1.4042559,-0.23826048,-0.73107266,0.17632416,0.4244942,1.0915642,-0.2494653,1.7892611,-0.1851761,-0.06060891,1.4543083,-0.8814472,0.9679105,-1.2059288,0.9446784,-0.026634775,-1.1979579,-0.84280854,-1.4093956,-1.6165047,7.454833e-06,0.39847127,0.75732535,0.056535047,0.30584082,-0.0036534755,-0.51500446,-0.8250184,-1.1435996,0.40342122,2.4032147,-0.5626621,0.5768206,0.28007993,-0.6801707,0.42747626,0.52716225,-0.91606075,-0.29128778,-0.23041056,-0.17705457,-0.813106,0.056371495,0.28200352,0.45380622,-0.31603554,0.7004044,0.46593252,-0.6856409,0.7972326,0.82794994,-1.4713444,1.1282829,-1.9916999,0.8967101,0.50804734,-1.7029783,0.9994114,-0.560862,-2.011212,-0.7797341,-0.3153621,1.144825,0.9114431,0.54337776,0.95231026,0.10825578,0.38000068,-0.8471196,0.35418925,0.9610928,0.1429257,0.5937269,-0.055081673,-0.36887243,0.826016,0.089053966,0.5453588,-1.5268185,-1.0586563,-0.58158076,1.1974465,0.3186325,0.013608187,1.0441618,-1.176402,-1.2504692,-0.74002045,1.1263287,0.31454802,-0.45754638,0.29403076,2.6307507,-1.6516546,0.63605464,1.3391541,-0.85891736,-0.16357636,-0.6020298,0.5198522,0.36942926,-0.63066244,0.8760902,1.4251298,1.499378,0.69934446,0.8312296,-2.0081906,-0.58941805,-1.6193433,-0.90755695,-0.9482447,-1.1512846,0.9004667,-0.27791414,-0.95917314,-1.2401211,-0.1338031,0.48776475,1.0769476,-0.25506854,-1.2842802,-0.9863133,-0.21784551,0.18384585,0.29183957,1.0516473,0.39972043,0.65492785,-1.002094,0.42242268,-1.2843446,-0.32927102,-0.53060144,-1.356931,0.17120434,-0.81260383,0.8381507,0.13294439,0.9089312,-2.667613,-0.12207813,0.9370994,-1.1536059,-0.8156165,-1.2925514,0.9734833,-0.4756644,1.9950504,0.41892132,-1.5993797,-1.4794914,-1.6884834,0.9878066,0.1958103,1.6003407,-1.6752515,0.33893782,-0.31555226,-0.34259406,0.106807075,1.1411301,1
-0.6309565,-0.80805534,0.87651277,0.044709247,-0.09206315,1.0258653,0.40256304,0.16390829,-0.0075907833,1.7608985,-1.0512545,0.06342856,0.048630144,-0.856783,0.80225325,0.7703165,-0.67523825,0.69825315,0.31130016,1.0647762,-0.7043213,1.4325447,-0.18076196,1.3627687,1.17967,0.6444555,-0.3147857,0.20376289,-0.4477831,-1.1463,0.3680506,-0.6569141,-0.6739103,-0.93579173,1.1842473,0.5815922,0.111945555,1.4914405,2.3591213,-1.7470473,-1.2127136,-0.6273235,1.9214857,-0.9254298,0.7161337,-0.58204454,0.123587005,-0.4916337,1.0178462,-0.48893896,-0.78170866,-2.019043,-0.6929098,-0.44323295,-0.3134564,-0.18168011,0.12389677,-0.6133101,1.0996541,-2.0699706,0.9563003,0.94335,0.16916983,-0.90813094,-0.33655617,1.2273325,0.9064973,-0.57671887,-0.806216,0.19756517,-0.50143254,0.72437775,0.16211474,1.5184813,-0.2784281,-0.6441595,-2.6256611,2.4621983,0.72430766,-0.33226305,-0.17161965,-0.04916685,1.5021253,-0.72077876,-0.24141565,-1.5310371,-1.6146965,-0.10484419,0.31405407,-1.5367532,-1.7167828,-2.3541653,1.195302,1.5557607,1.0586462,-0.108344354,-0.20967901,1.6565939,-0.0699281,-0.2022657,-0.039364822,0.89199096,1.3920043,1.6493028,-1.004259,0.9911896,-0.37209475,-0.30694336,0.47086853,-0.2950946,-0.79305804,-0.30511552,-1.4506961,-0.58027804,-0.6441924,0.45905748,1.4230127,-0.31025237,-0.14718162,0.23287047,-2.1231809,-1.0365855,-0.19848906,1.8866289,1.2835423,-1.0843383,-0.41402277,1.3148336,0.8355064,-0.49866447,-2.2126095,0.7484798,0.12285615,-0.28190842,1.0850102,-1.1829839,0.2753677,0.777986,0.39724702,-0.5109771,-0.18876345,1.2433455,0.19963117,-0.7134957,-1.2146274,-1.1243486,0.48066443,-1.2263188,2.110629,1.2147609,-0.68366605,-0.318757,-1.2256672,1.23869,-0.93741393,0.90336525,2.0805728,0.9841301,1.6643311,-1.3646717,-1.731772,-0.096264996,0.009204964,-0.13966426,0.3694091,-1.2930552,0.27917534,0.5537616,-0.5819372,-0.36496612,-0.77429795,-1.81936,-1.0539324,0.65037966,-0.6967391,-1.6529431,0.6336157,-0.35035786,0.86050725,-0.9730382,0.5623739,0.9995096,-0.30795377,0.25579414,0.23709059,-0.64748865,0.5131181,1.3668907,-0.5942516,0.7304718,-0.45726684,0.730334,0
0.20714648,2.1925879,-0.39463025,0.3809587,0.93378305,-1.648511,-2.0838985,-0.702758,0.47919285,-0.5908023,-0.6704306,-0.15016687,-0.11623606,0.69778705,0.8801945,-0.43019992,-0.43825883,0.63308805,-0.2824245,0.15564588,-0.46929932,0.17446774,0.8656504,0.9922824,-0.02206562,0.18658546,1.6343769,-1.9086902,-0.8769658,-0.3182407,1.2940718,0.6086233,-0.12338058,1.1040612,-0.20833561,0.53487515,-0.12116881,0.16242222,-1.4682271,1.3618797,1.6909623,-0.48153874,-0.6416688,-0.22189009,-0.046318296,0.57534516,-1.107213,0.029568026,-2.4342537,-1.6152347,0.3028333,1.9558883,1.0578443,0.52041715,0.40408546,0.062343355,-0.488688,0.43060812,-1.0801222,1.4802437,1.4265063,-1.5446085,0.11019631,0.9004398,-0.58373404,0.0070325583,-0.36878195,-0.39818588,-0.020106621,0.028772304,0.46750936,-0.6683091,0.19280049,-0.6645419,0.16587882,0.44615483,2.18227,-1.6280731,-1.4702873,0.774521,0.7070179,-1.029,0.19186993,-1.1251674,1.4196849,1.6984333,0.0029057458,0.5224943,-0.83947355,-0.5322472,0.8569014,1.3279469,-0.13608907,-0.64048177,-0.94575566,0.7889712,-0.14734358,-0.94604063,-1.1014156,0.6986634,0.72945917,-0.4217367,-0.5051012,-0.9131077,0.60358214,-0.121452495,0.61631614,0.64130706,-1.569757,-0.33162194,-0.4511909,1.3149446,1.3888426,0.698962,1.7205288,-1.3149589,-1.4316325,-0.2518855,1.385862,0.44723526,1.4464283,0.61411107,2.1449466,-2.1963482,0.008960194,2.4405735,-0.29229838,-1.1331221,-1.4180317,0.32168984,2.1567874,-1.0006431,0.33589274,1.4709663,0.8144176,1.6797907,0.5995696,-1.5606194,-0.6761977,-1.4971098,-0.698786,-1.7956861,-0.8804166,0.50068045,0.99498683,-0.42652556,-1.4208001,0.53720754,-0.9283932,-0.10068305,0.63633555,-0.656762,0.26261416,-0.95853466,1.0254374,-0.015425121,-1.1104335,-0.47434968,-0.8204105,-0.063962124,1.1278906,-1.2750298,-0.021773998,-0.4148331,-1.477448,0.8671899,-1.1300179,0.4542524,0.33618516,0.8153295,-1.5570736,0.85024345,1.0166018,-1.3349903,-0.17242514,0.3211461,0.45551747,-0.09950941,1.2531145,1.2746594,-1.4186944,-1.64748,-1.2301288,-0.046240885,0.028018747,1.6976416,-1.4227371,-0.49202636,0.5060686,-0.9882586,0.61476064,0.034067888,0
-0.6382402,0.57032245,-0.47111368,-0.6683609,-0.13526554,0.95233786,-0.24222341,0.31042057,-0.4858266,1.6011703,-1.087457,1.1363218,0.7563422,-0.637649,1.1714888,0.36898574,-0.5962604,0.9865548,0.08869363,0.6414491,-0.8180772,1.165695,0.43808803,0.9952498,1.1570454,0.81386447,-0.3763535,-0.7391372,-0.23130472,-0.7236144,-0.6824015,-0.48903096,-0.7753359,-1.1489413,1.7661189,0.85437584,-0.17504402,1.3169447,1.1619945,-1.8597493,0.07419356,-0.3605003,1.6247822,-1.6783954,0.8792534,-0.52135867,-0.9684598,-0.6324946,0.6125272,-1.1444962,-0.681949,-1.256355,-0.60894245,0.00625841,0.15139948,-0.21735382,-0.10808499,-1.00048,0.4025231,-1.2944607,0.92629683,1.2582577,0.23457828,-0.3371829,-0.28753737,1.2540724,0.6159612,-0.814111,-0.44415864,0.31103113,-0.4122593,0.73277617,0.18514179,0.98199093,-0.38941422,-0.5549596,-2.859912,2.6393747,-0.20492582,-0.6882041,0.117269106,-0.34872052,1.5390111,-0.8816612,0.09167826,-1.4233179,-1.8615844,0.355999,-0.24294648,-1.9578816,-1.9505183,-2.3436291,0.9490171,1.9545141,0.7007666,-0.22932127,0.07448882,1.5708336,0.20260864,-0.4962418,0.30399558,1.849769,1.0533655,1.346694,-1.0843678,-0.0342809,-0.39319927,-0.812897,-0.0057984996,-0.9747887,-0.85543025,-0.7500072,-1.089503,-0.31936407,-0.348086,0.4051361,1.1006211,-0.7510496,0.6415562,0.92119455,-1.556661,-1.3697891,-0.1340441,1.5377133,1.5008194,-0.3368796,-0.42613542,0.8487802,1.6543963,-0.03820816,-1.8049486,0.25864398,-0.009545269,-0.6697232,1.3667961,-0.70286983,1.2400503,0.8134673,0.06761788,0.30978808,-0.720919,1.2189313,0.22848527,-1.0971683,-1.1991621,-1.1316782,0.29891077,-1.143473,1.2716042,0.9354827,-0.44808647,-0.62290365,-0.93259716,1.3219069,-1.2286652,1.3772465,2.3896446,1.2005875,1.5618261,-0.7456137,-0.9384764,-0.13038643,-0.15918294,0.21348368,0.2878462,-0.9960725,0.94181085,0.7472764,-0.76661867,-0.8581833,-1.1962807,-1.4265925,-0.12290677,0.23265885,-0.89527845,-1.4897814,0.6831566,-0.8780452,1.0151482,-1.2644376,0.47991195,1.3019999,-0.773038,1.196147,-0.37956113,-0.90023565,-0.33870742,2.301303,-0.21270414,0.6278247,0.20085031,1.6930236,0
-0.005953933,2.4292471,0.42256692,0.4783585,1.1467792,-0.4395166,-1.6417104,-0.6302331,1.257862,1.2956975,-1.6171236,0.020108417,-0.77957624,0.42380294,2.1857715,-0.23450062,-0.28874612,1.4830793,-0.7319717,1.2185115,-1.3305421,0.61246336,1.0581081,1.9247247,0.83399856,0.93588257,1.3847601,-1.4218619,-1.1069915,-1.2652678,1.3486674,-0.54254836,-1.0739424,0.2587056,0.44971552,0.8560429,-0.26878422,1.6033806,0.6902179,-0.4832484,1.0599998,-0.66041744,0.98591614,-1.1096165,0.66513836,0.36182097,-0.8939519,-1.0480351,-0.7536972,-1.7914935,-0.2116836,0.23514183,1.2183586,-0.70494187,0.32522294,-0.16792995,-0.6232229,-0.82417476,-1.0805975,-0.09349627,2.2566924,-0.57974887,0.51244473,-0.032705095,-0.561815,0.7748944,0.77281016,-1.2094016,-0.5121292,-0.20680484,-0.15149333,-0.46227854,0.1647702,0.6858515,0.06251324,-0.5003932,0.39805102,0.12971778,-0.77886975,0.5334197,0.9790631,-1.4042658,1.1203985,-1.9124126,0.8960673,0.49796003,-1.9284316,0.6682036,-0.40817487,-1.4202366,-1.2577149,-0.6267492,1.1286654,1.0490361,0.5845044,1.360423,-0.39722064,0.7045871,-1.0490427,0.036738075,1.1228698,0.37285417,0.5118381,-0.046391875,-0.41013032,1.1436876,0.40219492,-0.10250772,-1.0652682,-0.6742111,-0.6918181,1.6548651,-0.20730312,-0.44214317,0.9952416,-0.9336496,-0.7062936,-0.2388665,1.3623385,0.25603768,-1.2105429,0.3626983,2.7704427,-1.2977203,0.27262807,1.1854491,-0.6816124,0.18383163,-0.6413417,0.55623287,-0.33156916,-0.21435407,0.7745376,1.3591543,1.7803284,0.9469681,1.2007451,-1.4467223,-0.8290664,-1.5221704,-1.2045898,-0.69096327,-1.5298556,1.1491119,-0.35762474,-1.3519884,-1.399999,-0.39320892,1.1745965,0.98913366,-0.507749,-1.3591754,-0.8666459,0.19759938,0.28776616,0.78474206,1.2427628,0.8096763,0.51136374,-1.3276203,0.12182342,-1.2200994,-0.77959454,-0.4502154,-1.1150073,-0.16363116,-0.5348259,1.2068006,-0.2310587,0.9156897,-2.3454113,-0.32662416,0.58047646,-1.2561183,-0.87713015,-1.2834297,0.98745686,-0.3262229,1.9695847,-0.07008666,-1.6440697,-0.9631032,-1.308879,1.0806941,0.0923113,1.6721132,-1.2634195,0.13272238,-0.24983436,-0.4929154,-0.04857059,1.250784,0
0.07690526,2.3699527,-0.4049686,0.33201152,0.8474843,-1.5420212,-2.2970908,-0.7624005,0.41470245,-0.39369816,-0.9404276,0.08449904,-0.04805483,0.6652975,1.231144,-0.29278648,-0.5882444,0.7798411,-0.24150382,0.2851927,-0.63007927,0.3911245,0.90310305,1.2211888,0.14919119,0.42347676,1.7740147,-2.12325,-1.0215894,-0.48349333,1.1992385,0.47273532,-0.37576866,0.9687945,0.035915006,0.70208883,-0.19739646,0.45690054,-1.3274955,1.1444343,1.8405347,-0.6498537,-0.33618322,-0.5217411,0.20617117,0.46291107,-1.3912853,-0.028222086,-2.459136,-1.8292139,0.18088295,1.7300701,0.99254,0.6089443,0.43289346,0.13821179,-0.57346153,0.28672433,-1.0525868,1.3454715,1.6417819,-1.3935174,0.08681706,0.92004067,-0.6929281,0.2560652,-0.20775624,-0.49706757,-0.085180014,0.022586038,0.45415404,-0.5110025,0.15662411,-0.55223006,0.108413324,0.4313877,1.8126917,-1.21803,-1.4780353,0.5903167,0.7358198,-1.2358459,0.56944764,-1.3787357,1.6006197,1.5215762,-0.23402828,0.65041643,-0.819083,-0.9775696,0.61212486,0.8557462,0.14263242,-0.32815963,-0.97079533,0.82171625,-0.24330714,-0.72242415,-1.0991197,0.6371587,0.8107979,-0.2480496,-0.30493557,-0.68805957,0.32540855,-0.054511577,0.5812495,0.5729729,-1.7001771,-0.5709666,-0.5526094,1.3211783,1.3081425,0.6346342,1.6248263,-1.2688507,-1.4308119,-0.396415,1.5573343,0.6072695,1.3142517,0.33189282,2.3856294,-1.9386317,0.33253887,2.4971957,-0.41561764,-1.0497082,-1.2414412,0.30020168,1.8782631,-1.0162748,0.44419238,1.466465,1.0767009,1.6986601,0.7801899,-1.5455729,-0.5573915,-1.6043261,-0.7882925,-1.582646,-0.8800303,0.39645648,0.7927785,-0.61901134,-1.4323494,0.33690363,-0.7737338,0.1014596,0.48679572,-0.77325195,0.10970086,-0.7513314,0.8468068,0.2294573,-0.55707103,-0.32609916,-0.6066485,-0.27159998,0.968096,-1.3209175,-0.0588447,-0.40741625,-1.46455,0.74273705,-1.0843868,0.54135144,0.230811,0.6174413,-1.7800298,0.65971905,1.1986862,-1.491227,-0.3280649,0.020857144,0.6625265,-0.3107548,1.4571242,1.1238726,-1.430761,-1.5659508,-1.474071,0.13208604,-0.03157807,1.7181566,-1.5863271,-0.12511536,0.48493275,-0.9494079,0.68658334,0.3345213,1
0.30090526,2.3631525,0.18436974,0.49020395,1.0867805,-1.3947127,-1.7729151,-0.18720332,1.2446675,0.37451884,-0.87423885,-0.3957121,-1.1770468,0.7046266,1.5383835,-0.90719473,0.30711743,0.61451787,-0.6168766,0.5652039,-0.999822,0.0015757737,0.97440195,1.2125777,-0.119759105,0.35994682,1.7486705,-1.3229653,-1.2104003,-0.887949,1.9230547,0.25039518,-0.17152795,0.9073445,-0.79204273,0.5507649,-0.024951177,0.8076589,-0.7814128,0.8896813,1.2741985,-0.34856895,-0.36995676,-0.06742584,0.45729774,0.84334534,-0.45906296,-0.51774037,-1.9055873,-1.3492823,0.02318015,1.4577963,1.0752251,0.043419745,0.25473425,-0.06602661,-0.65322804,-0.12939759,-1.3201473,1.1578358,1.6505271,-1.5569639,0.44141576,0.42826468,-0.36563042,-0.17922461,0.27710566,-0.5567937,-0.27655545,-0.2701031,0.31005102,-0.6432624,0.07424951,-0.4225169,0.38455772,0.32833442,2.2992117,-1.2948738,-0.542243,1.0299718,0.7718987,-1.2350047,0.12557219,-1.390283,0.634256,1.8391562,-0.5620283,0.47825402,-0.6548111,-0.77617455,0.2082726,1.2344536,0.208259,-0.47345775,0.18913154,1.2582983,0.03319912,-0.5518871,-1.3443924,0.55885774,0.7668265,-0.6554177,-0.09788366,-0.940659,0.18301325,0.53187686,0.41125908,0.852937,-1.3532156,-0.1219321,-0.29224324,1.7615217,0.8892642,0.15529957,1.4537194,-1.3631537,-1.7186515,-0.25294548,1.1231602,0.018264828,0.38874683,1.0407219,2.7363417,-2.3607833,-0.50274307,1.8904417,-0.39708006,-0.6295345,-1.5487978,0.6432149,1.4579238,-0.46187013,0.7779895,1.4421598,0.92724764,1.194109,0.26510644,-2.0749984,-1.058656,-1.624232,-0.77030534,-1.5997815,-1.2380383,1.5142226,0.58141506,-0.37679008,-1.5913328,0.70305586,-0.5096689,0.6427683,-0.04253343,-0.83820647,-0.101130806,-0.7521834,0.78470623,-0.16225311,-0.7214295,-0.40212783,-0.36019352,-0.6480974,1.0169554,-1.2483506,-0.2838997,-0.24913226,-1.4523774,0.67444044,-1.2186562,0.4065988,0.43177545,1.6771994,-1.7955314,0.5474154,1.0525551,-1.3052963,-0.31304884,-0.100705944,0.21980637,0.050077878,1.3666486,1.098721,-1.750939,-2.1641288,-1.1120778,0.34839624,0.5686517,2.111682,-1.5307499,-0.8891861,-0.19178401,-0.96446425,0.09336109,0.5061085,1
