experiment,femur_count,head_count,abdomen_count,total_cols
exp_2026-02-06 23:36:05.706872,253,14,133,456
exp_2026-02-07 03:29:40.247277,768,768,768,2398
exp_2026-02-07 06:42:41.816635,768,768,768,2398
exp_2026-02-07 09:01:45.870477,768,768,768,2398
exp_2026-02-07 12:41:53.706669,16,13,135,190
exp_2026-02-07 14:58:49.413777,12,0,166,258
exp_2026-02-07 18:21:47.791159,50,0,44,131
exp_2026-02-07 20:59:39.521683,758,757,754,2361
exp_2026-02-07 23:31:22.068576,175,139,372,730
exp_2026-02-08 07:13:27.264610,183,1,198,440
