experiment,total_features,femur_count,head_count,abdomen_count,image_total_count,tabular_count,femur_embs%,head_embs%,abdomen_embs%,image_total_%,tabular_%
exp_2026-02-16 11:18:18.234134,858,223,339,215,777,81,25.990675990675992,39.51048951048951,25.058275058275058,90.55944055944056,9.44055944055944
exp_2026-02-16 11:47:20.321125,444,42,165,178,385,59,9.45945945945946,37.16216216216216,40.090090090090094,86.71171171171171,13.288288288288289
exp_2026-02-16 12:12:45.675558,1645,392,565,596,1553,92,23.829787234042556,34.34650455927052,36.23100303951367,94.40729483282675,5.592705167173253
exp_2026-02-16 13:42:15.758787,1379,411,411,474,1296,83,29.804205946337923,29.804205946337923,34.372733865119656,93.9811457577955,6.018854242204496
exp_2026-02-16 14:12:10.940184,389,60,205,79,344,45,15.424164524421593,52.69922879177378,20.308483290488432,88.4318766066838,11.568123393316196
exp_2026-02-16 14:48:11.098980,928,185,414,257,856,72,19.935344827586206,44.612068965517246,27.69396551724138,92.24137931034483,7.758620689655173
exp_2026-02-16 15:34:53.308905,1478,273,589,552,1414,64,18.47090663058187,39.851150202976996,37.34776725304466,95.66982408660351,4.330175913396482
exp_2026-02-16 16:01:33.253267,1563,352,745,394,1491,72,22.52079334612924,47.664747280870124,25.207933461292388,95.39347408829175,4.606525911708253
exp_2026-02-16 16:43:29.354282,1107,610,247,211,1068,39,55.103884372177056,22.312556458897923,19.060523938572718,96.4769647696477,3.523035230352303
exp_2026-02-16 17:57:47.069887,2396,768,768,768,2304,92,32.053422370617696,32.053422370617696,32.053422370617696,96.16026711185309,3.8397328881469113
exp_2026-02-16 18:20:00.708187,1357,525,613,174,1312,45,38.68828297715549,45.173176123802506,12.822402358142963,96.68386145910097,3.316138540899042
exp_2026-02-16 18:51:20.276664,271,115,0,105,220,51,42.435424354243544,0.0,38.74538745387454,81.18081180811808,18.81918819188192
exp_2026-02-16 20:58:40.548601,1663,573,515,518,1606,57,34.455802766085384,30.968129885748645,31.14852675886951,96.57245941070354,3.4275405892964526
exp_2026-02-16 21:31:00.768234,2396,768,768,768,2304,92,32.053422370617696,32.053422370617696,32.053422370617696,96.16026711185309,3.8397328881469113
exp_2026-02-16 22:35:12.934582,2396,768,768,768,2304,92,32.053422370617696,32.053422370617696,32.053422370617696,96.16026711185309,3.8397328881469113
exp_2026-02-16 23:12:07.856133,2396,768,768,768,2304,92,32.053422370617696,32.053422370617696,32.053422370617696,96.16026711185309,3.8397328881469113
exp_2026-02-16 23:51:59.804599,193,69,39,44,152,41,35.751295336787564,20.207253886010363,22.797927461139896,78.75647668393782,21.243523316062177
exp_2026-02-17 00:08:44.460762,786,353,356,37,746,40,44.910941475826974,45.29262086513995,4.707379134860051,94.91094147582697,5.089058524173027
exp_2026-02-17 00:37:41.976892,1008,358,267,292,917,91,35.51587301587302,26.488095238095237,28.968253968253972,90.97222222222221,9.027777777777777
exp_2026-02-17 01:17:41.975014,265,124,27,68,219,46,46.79245283018868,10.18867924528302,25.660377358490567,82.64150943396227,17.358490566037734
exp_2026-02-17 02:03:21.722944,258,74,0,128,202,56,28.68217054263566,0.0,49.6124031007752,78.29457364341084,21.705426356589147
exp_2026-02-17 02:46:00.364866,2396,768,768,768,2304,92,32.053422370617696,32.053422370617696,32.053422370617696,96.16026711185309,3.8397328881469113
exp_2026-02-17 03:59:03.281012,461,271,18,132,421,40,58.78524945770065,3.9045553145336225,28.633405639913235,91.3232104121475,8.676789587852495
exp_2026-02-17 04:24:40.328104,1820,343,659,733,1735,85,18.846153846153847,36.208791208791204,40.27472527472528,95.32967032967034,4.670329670329671
exp_2026-02-17 05:10:22.039797,462,25,107,270,402,60,5.411255411255411,23.160173160173162,58.44155844155844,87.01298701298701,12.987012987012985
exp_2026-02-17 06:38:32.597150,434,32,22,311,365,69,7.373271889400922,5.0691244239631335,71.6589861751152,84.10138248847926,15.898617511520738
exp_2026-02-17 06:55:55.651480,1377,481,454,390,1325,52,34.93100944081336,32.97022512708787,28.322440087145967,96.2236746550472,3.776325344952796
exp_2026-02-17 07:45:22.283167,852,31,94,650,775,77,3.6384976525821595,11.032863849765258,76.29107981220658,90.96244131455398,9.03755868544601
exp_2026-02-17 08:33:13.111024,606,381,0,156,537,69,62.87128712871287,0.0,25.742574257425744,88.61386138613861,11.386138613861387
exp_2026-02-17 10:10:38.653217,2396,768,768,768,2304,92,32.053422370617696,32.053422370617696,32.053422370617696,96.16026711185309,3.8397328881469113
