feature,count
Idade,29
PartoAntTipo_2-instrumentado,27
PartoAntTipo_1-csa,27
MotivoCSAant_SemPartoAnterior,27
MetodoInd_3-ocitocina,26
EPF(percentil),26
EPF(pesoemg),26
Gesta,26
ComplicGravidez_1-RPM,26
IMCfinal,26
MotivoCSAant_11-outras,25
PPTAnterior,25
PartoAntTipo_6-PE+instrumentado,24
TipoInstrument_2-forceps,24
PartoAntTipo_SemPartoAnterior,24
PartoAntTipo_3-PE,24
DPB(mm),24
IGPPTAnterior,24
IMCInicial,24
PartoAntTempoMeses,24
PatologiasPrevias_2-hipotiroidismo,24
AE,24
MotivoInd_8-doençaautoimune,24
PartoTermoAnterior,24
PC(mm),24
FL(mm),23
PesoInicial,23
TipoInstrument_SemPartoAnterior,23
Altura,23
AumentoPonderal,23
PatologiasPrevias_9-cirurgiabariátrica,23
MotivoInd_10-patologiamaterna,23
MotivoCSAant_10-EFNTintraparto,23
MotivoInd_4-DG,23
TipoInstrument_3-ventosa+forceps,23
PartoAntTipo_4-CSA+PE,23
Paridade,23
PatologiasPrevias_1-DM,23
pAB(mm),22
PesoFinal,22
PatologiasPrevias_8-doençarenalpoliquistica,22
MetodoInd_4-SF,22
Bishop,22
PatologiasPrevias_6-patologiaoncológica,22
PatologiasPrevias_10-nódulostiroideus,22
PatologiasPrevias_11-SOP,22
PatologiasPrevias_3-HTAc,22
PatologiasPrevias_17-hematologica,22
ComplicGravidez_7-hidramnios,22
MotivoCSAant_8-Induçãofalhada,22
MotivoCSAant_7-suspdeIFP,22
ComplicGravidez_2-DG,22
PatologiasPrevias_4-trombofilia,21
PartoAntTipo_5-CSA+instrumentado,21
MetodoInd_2-dinoprostona,21
MetodoInd_1-misoprostol,21
IG,21
PatologiasPrevias_12-Pneumológica,21
ComplicGravidez_4-pré-eclâmpsia,21
ComplicGravidez_3-HTA,21
PatologiasPrevias_18-infeciosa,21
MotivoInd_1-IG41sem,21
MotivoInd_9-RCF,21
MotivoInd_7-trombofilia,21
Eco3ºT(semanas),21
MotivoInd_12-RPM,21
MotivoInd_11-patologiafetal,21
MotivoInd_15-CTGsuspeito,21
PatologiasPrevias_20-outras,21
ComplicGravidez_9-trombocitopeniagestacional,21
MotivoInd_5-HTA,20
ComplicGravidez_10-colestasegravídica,20
ComplicGravidez_0-semcomplicações,20
MotivoCSAant_9-TPestacionário,20
MotivoCSAant_5-sit/apfetalanómala,20
MotivoCSAant_6-gravidezmúltipla,20
PatologiasPrevias_5-patologiaautoimune,20
MotivoInd_3-colestase,20
MotivoInd_2-oligoamnios,20
MotivoInd_13-IGPMA,20
ComplicGravidez_6-oligoamnios,20
TipoInstrument_1-ventosa,19
ComplicGravidez_5-RCF,19
PatologiasPrevias_13-ginecológica,19
PatologiasPrevias_0-sempatologias,19
MotivoInd_14-outro,19
PatologiasPrevias_15-neurologica,19
PatologiasPrevias_19-obesidade,19
PatologiasPrevias_14-cardíaca,18
MotivoCSAant_3-patprópriadagravidez,18
MotivoInd_6-pré-eclâmpsia,18
CSAAnt,18
