experiment,total_features,total_features_%_of_all,femur_count,femur_%_within_selected,femur_%_of_all_femur,head_count,head_%_within_selected,head_%_of_all_head,abdomen_count,abdomen_%_within_selected,abdomen_%_of_all_abdomen,image_total_count,image_total_%_within_selected,image_total_%_of_all_image,tabular_count,tabular_%_within_selected,tabular_%_of_all_tabular
exp_2026-02-24 11:41:09.666690,792.0,33.055,23.0,2.904,2.995,163.0,20.581,21.224,537.0,67.803,69.922,723.0,91.288,31.38,69.0,8.712,75.0
exp_2026-02-24 13:55:33.266046,2396.0,100.0,768.0,32.053,100.0,768.0,32.053,100.0,768.0,32.053,100.0,2304.0,96.16,100.0,92.0,3.84,100.0
exp_2026-02-24 18:20:27.568854,2396.0,100.0,768.0,32.053,100.0,768.0,32.053,100.0,768.0,32.053,100.0,2304.0,96.16,100.0,92.0,3.84,100.0
exp_2026-02-24 20:35:57.995552,2389.0,99.708,766.0,32.064,99.74,764.0,31.98,99.479,767.0,32.105,99.87,2297.0,96.149,99.696,92.0,3.851,100.0
exp_2026-02-25 00:24:12.175954,464.0,19.366,62.0,13.362,8.073,105.0,22.629,13.672,270.0,58.19,35.156,437.0,94.181,18.967,27.0,5.819,29.348
exp_2026-02-25 03:55:28.073646,257.0,10.726,1.0,0.389,0.13,0.0,0.0,0.0,164.0,63.813,21.354,165.0,64.202,7.161,92.0,35.798,100.0
exp_2026-02-25 07:16:39.428256,1428.0,59.599,422.0,29.552,54.948,564.0,39.496,73.438,361.0,25.28,47.005,1347.0,94.328,58.464,81.0,5.672,88.043
exp_2026-02-25 10:37:28.241301,2299.0,95.952,736.0,32.014,95.833,740.0,32.188,96.354,734.0,31.927,95.573,2210.0,96.129,95.92,89.0,3.871,96.739
exp_2026-02-25 17:04:03.965377,207.0,8.639,51.0,24.638,6.641,5.0,2.415,0.651,84.0,40.58,10.938,140.0,67.633,6.076,67.0,32.367,72.826
exp_2026-02-25 20:33:24.841956,1957.0,81.678,562.0,28.717,73.177,613.0,31.323,79.818,702.0,35.871,91.406,1877.0,95.912,81.467,80.0,4.088,86.957
exp_2026-02-26 01:07:55.565556,344.0,14.357,81.0,23.547,10.547,151.0,43.895,19.661,40.0,11.628,5.208,272.0,79.07,11.806,72.0,20.93,78.261
exp_2026-02-26 05:53:54.329883,783.0,32.679,183.0,23.372,23.828,209.0,26.692,27.214,343.0,43.806,44.661,735.0,93.87,31.901,48.0,6.13,52.174
exp_2026-02-26 10:16:51.876605,2100.0,87.646,675.0,32.143,87.891,665.0,31.667,86.589,677.0,32.238,88.151,2017.0,96.048,87.543,83.0,3.952,90.217
exp_2026-02-26 11:49:32.084204,77.0,3.214,7.0,9.091,0.911,27.0,35.065,3.516,17.0,22.078,2.214,51.0,66.234,2.214,26.0,33.766,28.261
exp_2026-02-26 15:31:33.264659,498.0,20.785,144.0,28.916,18.75,28.0,5.622,3.646,244.0,48.996,31.771,416.0,83.534,18.056,82.0,16.466,89.13
exp_2026-02-26 18:40:42.635124,807.0,33.681,301.0,37.299,39.193,0.0,0.0,0.0,424.0,52.54,55.208,725.0,89.839,31.467,82.0,10.161,89.13
exp_2026-02-26 23:10:01.528828,391.0,16.319,271.0,69.309,35.286,22.0,5.627,2.865,46.0,11.765,5.99,339.0,86.701,14.714,52.0,13.299,56.522
exp_2026-02-27 03:20:14.044664,2396.0,100.0,768.0,32.053,100.0,768.0,32.053,100.0,768.0,32.053,100.0,2304.0,96.16,100.0,92.0,3.84,100.0
exp_2026-02-27 11:38:07.571414,1904.0,79.466,407.0,21.376,52.995,739.0,38.813,96.224,668.0,35.084,86.979,1814.0,95.273,78.733,90.0,4.727,97.826
exp_2026-02-27 13:55:14.170831,2396.0,100.0,768.0,32.053,100.0,768.0,32.053,100.0,768.0,32.053,100.0,2304.0,96.16,100.0,92.0,3.84,100.0
exp_2026-02-27 19:58:56.509844,592.0,24.708,169.0,28.547,22.005,106.0,17.905,13.802,268.0,45.27,34.896,543.0,91.723,23.568,49.0,8.277,53.261
exp_2026-02-27 22:45:52.450389,679.0,28.339,210.0,30.928,27.344,233.0,34.315,30.339,205.0,30.191,26.693,648.0,95.434,28.125,31.0,4.566,33.696
exp_2026-02-28 00:57:42.092897,2396.0,100.0,768.0,32.053,100.0,768.0,32.053,100.0,768.0,32.053,100.0,2304.0,96.16,100.0,92.0,3.84,100.0
exp_2026-02-28 02:26:53.606285,305.0,12.73,108.0,35.41,14.062,0.0,0.0,0.0,116.0,38.033,15.104,224.0,73.443,9.722,81.0,26.557,88.043
exp_2026-02-28 07:57:42.476116,2300.0,95.993,743.0,32.304,96.745,738.0,32.087,96.094,730.0,31.739,95.052,2211.0,96.13,95.964,89.0,3.87,96.739
exp_2026-02-28 11:06:35.772338,658.0,27.462,144.0,21.884,18.75,51.0,7.751,6.641,378.0,57.447,49.219,573.0,87.082,24.87,85.0,12.918,92.391
exp_2026-02-28 15:01:28.167754,1071.0,44.699,499.0,46.592,64.974,90.0,8.403,11.719,395.0,36.881,51.432,984.0,91.877,42.708,87.0,8.123,94.565
