feature,count
Idade,29
PartoTermoAnterior,29
PartoAntTempoMeses,29
EPF(percentil),29
IG,28
PartoAntTipo_1-csa,28
EPF(pesoemg),28
IMCfinal,28
AumentoPonderal,27
Gesta,27
Paridade,27
Altura,27
PartoAntTipo_2-instrumentado,27
PartoAntTipo_3-PE,27
Eco3ºT(semanas),27
MotivoCSAant_10-EFNTintraparto,27
PC(mm),27
DPB(mm),27
MetodoInd_4-SF,26
PesoFinal,26
TipoInstrument_1-ventosa,26
PesoInicial,26
Bishop,26
pAB(mm),25
PartoAntTipo_SemPartoAnterior,25
TipoInstrument_2-forceps,25
MetodoInd_1-misoprostol,25
IGPPTAnterior,25
IMCInicial,25
ComplicGravidez_2-DG,25
PartoAntTipo_4-CSA+PE,25
TipoInstrument_3-ventosa+forceps,24
MotivoCSAant_11-outras,24
TipoInstrument_SemPartoAnterior,24
MetodoInd_2-dinoprostona,24
MotivoCSAant_8-Induçãofalhada,24
MetodoInd_3-ocitocina,24
PartoAntTipo_6-PE+instrumentado,24
FL(mm),23
MotivoCSAant_SemPartoAnterior,23
ComplicGravidez_1-RPM,23
ComplicGravidez_6-oligoamnios,23
ComplicGravidez_10-colestasegravídica,23
MotivoCSAant_9-TPestacionário,23
PatologiasPrevias_18-infeciosa,23
MotivoInd_5-HTA,23
MotivoInd_2-oligoamnios,23
MotivoCSAant_5-sit/apfetalanómala,23
PatologiasPrevias_3-HTAc,23
MotivoInd_7-trombofilia,23
AE,23
PartoAntTipo_5-CSA+instrumentado,23
PatologiasPrevias_4-trombofilia,22
ComplicGravidez_7-hidramnios,22
MotivoCSAant_6-gravidezmúltipla,22
ComplicGravidez_9-trombocitopeniagestacional,22
PatologiasPrevias_14-cardíaca,22
PatologiasPrevias_20-outras,22
PatologiasPrevias_13-ginecológica,22
ComplicGravidez_5-RCF,22
MotivoInd_6-pré-eclâmpsia,22
PatologiasPrevias_1-DM,22
ComplicGravidez_4-pré-eclâmpsia,22
MotivoInd_13-IGPMA,22
PatologiasPrevias_5-patologiaautoimune,22
MotivoInd_9-RCF,22
MotivoInd_1-IG41sem,22
MotivoInd_14-outro,21
PatologiasPrevias_10-nódulostiroideus,21
MotivoCSAant_3-patprópriadagravidez,21
PatologiasPrevias_8-doençarenalpoliquistica,21
MotivoInd_10-patologiamaterna,21
MotivoInd_3-colestase,21
MotivoCSAant_7-suspdeIFP,21
PatologiasPrevias_6-patologiaoncológica,21
PatologiasPrevias_11-SOP,21
PPTAnterior,21
ComplicGravidez_3-HTA,20
MotivoInd_11-patologiafetal,20
PatologiasPrevias_17-hematologica,20
PatologiasPrevias_0-sempatologias,20
PatologiasPrevias_2-hipotiroidismo,20
PatologiasPrevias_19-obesidade,20
MotivoInd_15-CTGsuspeito,20
PatologiasPrevias_12-Pneumológica,19
MotivoInd_12-RPM,19
PatologiasPrevias_9-cirurgiabariátrica,19
MotivoInd_8-doençaautoimune,19
ComplicGravidez_0-semcomplicações,18
PatologiasPrevias_15-neurologica,18
MotivoInd_4-DG,18
CSAAnt,16
