run,total_features,tab_emb_count,img_emb_count,tab_emb_%,img_emb_%
exp_2026-02-04_22-55-51.274445,324.0,274.0,50.0,84.5679012345679,15.432098765432098
exp_2026-02-04_23-27-22.595951,807.0,288.0,519.0,35.687732342007436,64.31226765799256
exp_2026-02-05_00-32-56.200623,597.0,368.0,229.0,61.641541038525965,38.358458961474035
exp_2026-02-05_01-09-39.178445,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-05_02-00-02.827681,276.0,163.0,113.0,59.05797101449275,40.94202898550725
exp_2026-02-05_03-05-16.604183,136.0,109.0,27.0,80.1470588235294,19.852941176470587
exp_2026-02-05_03-36-37.576080,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-05_04-31-13.141018,346.0,159.0,187.0,45.95375722543353,54.04624277456647
exp_2026-02-05_05-11-18.712131,1314.0,663.0,651.0,50.45662100456621,49.54337899543379
exp_2026-02-05_06-03-01.754867,1536.0,768.0,768.0,50.0,50.0
MEAN,840.8,432.8,408.0,56.75125826831231,43.24874173168768
STD,583.2913889681935,277.5002702701387,316.47397646216945,15.227839909977988,15.227839909977991
