run,selected_total_features,selected_tab_count,selected_img_count,tab_%_within_selected,img_%_within_selected,tab_%_of_all_tab_features,img_%_of_all_img_features,total_%_of_all_features
exp_2026-02-20 13:45:14.330791,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-20 14:39:05.003166,1335.0,656.0,679.0,49.139,50.861,85.417,88.411,86.914
exp_2026-02-20 16:57:42.098784,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-20 17:34:36.068885,494.0,273.0,221.0,55.263,44.737,35.547,28.776,32.161
exp_2026-02-20 18:14:49.194158,1361.0,678.0,683.0,49.816,50.184,88.281,88.932,88.607
exp_2026-02-20 18:53:02.593747,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-20 19:38:04.398737,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-20 21:02:49.049055,324.0,169.0,155.0,52.16,47.84,22.005,20.182,21.094
exp_2026-02-20 21:43:25.342116,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-20 22:31:15.001936,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-20 23:36:50.846603,672.0,379.0,293.0,56.399,43.601,49.349,38.151,43.75
exp_2026-02-21 00:16:47.390634,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 01:21:31.783335,161.0,67.0,94.0,41.615,58.385,8.724,12.24,10.482
exp_2026-02-21 02:12:44.045992,578.0,376.0,202.0,65.052,34.948,48.958,26.302,37.63
exp_2026-02-21 04:09:46.012483,305.0,165.0,140.0,54.098,45.902,21.484,18.229,19.857
exp_2026-02-21 05:47:47.445628,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 06:57:28.844956,70.0,37.0,33.0,52.857,47.143,4.818,4.297,4.557
exp_2026-02-21 07:47:22.093009,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 09:03:31.586176,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 09:51:01.887099,881.0,591.0,290.0,67.083,32.917,76.953,37.76,57.357
exp_2026-02-21 12:10:56.016453,213.0,194.0,19.0,91.08,8.92,25.26,2.474,13.867
exp_2026-02-21 12:54:17.683037,1004.0,370.0,634.0,36.853,63.147,48.177,82.552,65.365
exp_2026-02-21 13:38:43.167572,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 15:24:11.122210,278.0,97.0,181.0,34.892,65.108,12.63,23.568,18.099
exp_2026-02-21 15:53:24.021208,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 20:27:09.086191,378.0,305.0,73.0,80.688,19.312,39.714,9.505,24.609
exp_2026-02-21 21:11:10.324783,1536.0,768.0,768.0,50.0,50.0,100.0,100.0,100.0
exp_2026-02-21 22:28:05.855464,1461.0,739.0,722.0,50.582,49.418,96.224,94.01,95.117
exp_2026-02-21 23:51:20.507999,318.0,134.0,184.0,42.138,57.862,17.448,23.958,20.703
exp_2026-02-22 00:27:29.896251,174.0,106.0,68.0,60.92,39.08,13.802,8.854,11.328
MEAN,999.167,510.667,488.5,53.021,46.979,66.493,63.607,65.05
STD,585.148,285.094,307.918,11.181,11.181,37.122,40.093,38.096
