run,total_features,tab_emb_count,img_emb_count,tab_emb_%,img_emb_%
exp_2026-02-06 12:21:50.009775,824.0,89.0,735.0,10.800970873786408,89.19902912621359
exp_2026-02-06 13:27:19.305581,735.0,75.0,660.0,10.204081632653061,89.79591836734694
exp_2026-02-06 15:34:46.919564,29.0,22.0,7.0,75.86206896551724,24.137931034482758
exp_2026-02-06 16:41:47.113206,254.0,30.0,224.0,11.811023622047244,88.18897637795276
exp_2026-02-06 17:32:35.218223,434.0,68.0,366.0,15.668202764976959,84.33179723502305
exp_2026-02-06 18:26:39.077346,250.0,53.0,197.0,21.2,78.8
exp_2026-02-06 19:34:12.229279,73.0,55.0,18.0,75.34246575342466,24.65753424657534
exp_2026-02-06 20:16:42.263344,381.0,75.0,306.0,19.68503937007874,80.31496062992126
exp_2026-02-06 21:29:33.120193,397.0,81.0,316.0,20.403022670025187,79.5969773299748
exp_2026-02-06 22:41:22.146293,164.0,18.0,146.0,10.975609756097562,89.02439024390245
MEAN,354.1,56.6,297.5,27.195248540860707,72.80475145913928
STD,261.7337281369072,25.522103709878184,242.41481894563387,25.85255295969277,25.85255295969277
