feature,count
IMCfinal,10
PartoAntTipo_SemPartoAnterior,9
Eco3ºT(semanas),9
IG,9
FL(mm),9
MetodoInd_2-dinoprostona,9
PesoInicial,8
MotivoCSAant_7-suspdeIFP,8
MotivoCSAant_10-EFNTintraparto,8
PartoAntTipo_4-CSA+PE,8
MotivoCSAant_9-TPestacionário,8
DPB(mm),8
MotivoCSAant_8-Induçãofalhada,8
ComplicGravidez_1-RPM,8
TipoInstrument_2-forceps,8
PartoAntTipo_3-PE,8
MotivoCSAant_SemPartoAnterior,8
PartoAntTempoMeses,8
TipoInstrument_3-ventosa+forceps,8
Altura,8
TipoInstrument_SemPartoAnterior,7
MetodoInd_3-ocitocina,7
PartoAntTipo_6-PE+instrumentado,7
PartoAntTipo_2-instrumentado,7
PartoAntTipo_5-CSA+instrumentado,7
ComplicGravidez_5-RCF,7
MotivoCSAant_5-sit/apfetalanómala,7
IGPPTAnterior,7
MotivoCSAant_6-gravidezmúltipla,7
CSAAnt,7
EPF(pesoemg),7
IMCInicial,7
MetodoInd_4-SF,7
MetodoInd_1-misoprostol,7
TipoInstrument_1-ventosa,7
PartoAntTipo_1-csa,7
MotivoCSAant_11-outras,7
EPF(percentil),7
PesoFinal,7
PC(mm),7
AumentoPonderal,7
pAB(mm),7
AE,7
PPTAnterior,7
MotivoInd_7-trombofilia,7
Bishop,7
MotivoInd_8-doençaautoimune,7
ComplicGravidez_4-pré-eclâmpsia,6
PatologiasPrevias_15-neurologica,6
ComplicGravidez_7-hidramnios,6
PatologiasPrevias_13-ginecológica,6
Idade,6
PartoTermoAnterior,6
PatologiasPrevias_12-Pneumológica,6
Paridade,6
PatologiasPrevias_19-obesidade,6
ComplicGravidez_0-semcomplicações,6
MotivoCSAant_3-patprópriadagravidez,6
ComplicGravidez_10-colestasegravídica,6
PatologiasPrevias_0-sempatologias,6
PatologiasPrevias_17-hematologica,6
ComplicGravidez_9-trombocitopeniagestacional,5
PatologiasPrevias_1-DM,5
Gesta,5
PatologiasPrevias_6-patologiaoncológica,5
ComplicGravidez_2-DG,5
PatologiasPrevias_10-nódulostiroideus,5
ComplicGravidez_3-HTA,5
MotivoInd_6-pré-eclâmpsia,5
MotivoInd_1-IG41sem,5
PatologiasPrevias_5-patologiaautoimune,5
MotivoInd_9-RCF,5
MotivoInd_14-outro,4
PatologiasPrevias_11-SOP,4
PatologiasPrevias_3-HTAc,4
MotivoInd_15-CTGsuspeito,4
PatologiasPrevias_18-infeciosa,4
MotivoInd_3-colestase,4
PatologiasPrevias_2-hipotiroidismo,4
ComplicGravidez_6-oligoamnios,4
MotivoInd_11-patologiafetal,4
MotivoInd_2-oligoamnios,4
PatologiasPrevias_8-doençarenalpoliquistica,4
PatologiasPrevias_9-cirurgiabariátrica,4
PatologiasPrevias_14-cardíaca,4
PatologiasPrevias_4-trombofilia,3
MotivoInd_5-HTA,3
MotivoInd_10-patologiamaterna,3
PatologiasPrevias_20-outras,3
MotivoInd_13-IGPMA,3
MotivoInd_12-RPM,2
MotivoInd_4-DG,2
