run,selected_total_features,selected_tab_count,selected_img_count,tab_%_within_selected,img_%_within_selected,tab_%_of_all_tab_features,img_%_of_all_img_features,total_%_of_all_features
exp_2026-02-22 10:50:49.169392,320.0,91.0,229.0,28.438,71.562,98.913,29.818,37.209
exp_2026-02-22 12:21:16.817206,199.0,47.0,152.0,23.618,76.382,51.087,19.792,23.14
exp_2026-02-22 14:13:21.551532,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-22 15:43:02.651153,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-22 16:23:42.218032,508.0,70.0,438.0,13.78,86.22,76.087,57.031,59.07
exp_2026-02-22 17:02:18.904715,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-22 19:27:02.673682,680.0,90.0,590.0,13.235,86.765,97.826,76.823,79.07
exp_2026-02-22 21:09:34.992209,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-22 22:40:12.031767,765.0,82.0,683.0,10.719,89.281,89.13,88.932,88.953
exp_2026-02-22 23:52:21.955909,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 00:58:53.968026,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 02:09:22.054624,36.0,31.0,5.0,86.111,13.889,33.696,0.651,4.186
exp_2026-02-23 03:21:01.565287,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 04:07:52.852135,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 05:35:19.365419,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 06:54:49.455189,312.0,55.0,257.0,17.628,82.372,59.783,33.464,36.279
exp_2026-02-23 09:19:44.436006,825.0,90.0,735.0,10.909,89.091,97.826,95.703,95.93
exp_2026-02-23 10:31:01.662554,268.0,63.0,205.0,23.507,76.493,68.478,26.693,31.163
exp_2026-02-23 11:42:38.228074,141.0,50.0,91.0,35.461,64.539,54.348,11.849,16.395
exp_2026-02-23 12:43:55.858585,153.0,50.0,103.0,32.68,67.32,54.348,13.411,17.791
exp_2026-02-23 13:38:49.746097,143.0,42.0,101.0,29.371,70.629,45.652,13.151,16.628
exp_2026-02-23 14:38:19.115458,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 16:22:27.610391,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 18:03:08.583328,860.0,92.0,768.0,10.698,89.302,100.0,100.0,100.0
exp_2026-02-23 21:13:58.499200,196.0,44.0,152.0,22.449,77.551,47.826,19.792,22.791
exp_2026-02-23 21:59:40.774960,414.0,68.0,346.0,16.425,83.575,73.913,45.052,48.14
exp_2026-02-23 23:31:39.930434,279.0,62.0,217.0,22.222,77.778,67.391,28.255,32.442
exp_2026-02-24 01:05:57.797681,305.0,71.0,234.0,23.279,76.721,77.174,30.469,35.465
exp_2026-02-24 01:47:38.921645,530.0,92.0,438.0,17.358,82.642,100.0,57.031,61.628
exp_2026-02-24 03:36:02.996758,273.0,33.0,240.0,12.088,87.912,35.87,31.25,31.744
MEAN,555.567,74.5,481.067,18.922,81.078,80.978,62.639,64.601
STD,305.93,21.247,286.996,14.764,14.764,23.094,37.369,35.573
