feature,count
Idade,29
MotivoInd_7-trombofilia,29
IMCInicial,28
Altura,28
MotivoCSAant_7-suspdeIFP,28
PesoFinal,27
IMCfinal,27
DPB(mm),27
Eco3ºT(semanas),27
FL(mm),27
AE,27
PartoTermoAnterior,27
MotivoInd_8-doençaautoimune,27
PatologiasPrevias_19-obesidade,27
PartoAntTipo_1-csa,26
PatologiasPrevias_15-neurologica,26
MetodoInd_1-misoprostol,26
MetodoInd_4-SF,26
PatologiasPrevias_9-cirurgiabariátrica,26
MotivoInd_4-DG,26
ComplicGravidez_2-DG,26
ComplicGravidez_10-colestasegravídica,26
ComplicGravidez_5-RCF,26
MetodoInd_3-ocitocina,26
PC(mm),26
EPF(percentil),25
Paridade,25
EPF(pesoemg),25
PatologiasPrevias_17-hematologica,25
PatologiasPrevias_20-outras,25
PatologiasPrevias_1-DM,25
PatologiasPrevias_0-sempatologias,25
PatologiasPrevias_2-hipotiroidismo,25
MetodoInd_2-dinoprostona,25
Bishop,25
PartoAntTipo_2-instrumentado,25
AumentoPonderal,25
PesoInicial,25
ComplicGravidez_1-RPM,25
ComplicGravidez_6-oligoamnios,25
MotivoCSAant_SemPartoAnterior,25
PartoAntTipo_6-PE+instrumentado,25
TipoInstrument_2-forceps,25
ComplicGravidez_4-pré-eclâmpsia,25
PatologiasPrevias_13-ginecológica,24
CSAAnt,24
PatologiasPrevias_4-trombofilia,24
ComplicGravidez_9-trombocitopeniagestacional,24
Gesta,24
MotivoInd_5-HTA,24
MotivoInd_12-RPM,24
PPTAnterior,24
TipoInstrument_1-ventosa,24
PatologiasPrevias_10-nódulostiroideus,24
ComplicGravidez_3-HTA,24
PartoAntTipo_SemPartoAnterior,24
MotivoCSAant_11-outras,24
MotivoCSAant_3-patprópriadagravidez,24
TipoInstrument_SemPartoAnterior,24
IGPPTAnterior,23
MotivoCSAant_5-sit/apfetalanómala,23
PartoAntTipo_3-PE,23
PartoAntTempoMeses,23
MotivoInd_15-CTGsuspeito,23
MotivoInd_6-pré-eclâmpsia,23
PatologiasPrevias_18-infeciosa,23
PatologiasPrevias_3-HTAc,23
ComplicGravidez_7-hidramnios,23
ComplicGravidez_0-semcomplicações,23
PatologiasPrevias_11-SOP,23
TipoInstrument_3-ventosa+forceps,23
MotivoCSAant_9-TPestacionário,23
PatologiasPrevias_5-patologiaautoimune,23
MotivoInd_13-IGPMA,22
MotivoInd_2-oligoamnios,22
PartoAntTipo_5-CSA+instrumentado,22
MotivoInd_10-patologiamaterna,22
MotivoInd_11-patologiafetal,22
MotivoCSAant_6-gravidezmúltipla,22
MotivoCSAant_10-EFNTintraparto,22
PatologiasPrevias_12-Pneumológica,22
MotivoInd_9-RCF,22
PatologiasPrevias_8-doençarenalpoliquistica,22
pAB(mm),21
IG,21
MotivoCSAant_8-Induçãofalhada,21
PartoAntTipo_4-CSA+PE,21
MotivoInd_1-IG41sem,21
MotivoInd_3-colestase,21
MotivoInd_14-outro,21
PatologiasPrevias_14-cardíaca,20
PatologiasPrevias_6-patologiaoncológica,20
