run,total_features,tab_emb_count,img_emb_count,tab_emb_%,img_emb_%
exp_2026-02-04_16-12-03.385942,60.0,14.0,45.0,23.333333333333332,75.0
exp_2026-02-04_16-39-26.403037,85.0,18.0,66.0,21.176470588235293,77.6470588235294
exp_2026-02-04_17-06-41.627135,101.0,18.0,82.0,17.821782178217823,81.18811881188118
exp_2026-02-04_17-26-55.150978,749.0,158.0,590.0,21.09479305740988,78.7716955941255
exp_2026-02-04_18-21-03.532239,138.0,91.0,46.0,65.94202898550725,33.333333333333336
exp_2026-02-04_19-02-12.504727,83.0,25.0,57.0,30.120481927710845,68.67469879518072
exp_2026-02-04_19-34-56.394381,357.0,85.0,271.0,23.80952380952381,75.91036414565826
exp_2026-02-04_20-00-30.932971,961.0,192.0,768.0,19.979188345473464,79.91675338189386
exp_2026-02-04_20-25-12.489921,108.0,27.0,80.0,25.0,74.07407407407408
exp_2026-02-04_21-00-58.607787,74.0,11.0,62.0,14.864864864864865,83.78378378378379
MEAN,271.6,63.9,206.7,26.31424670902765,72.829988074346
STD,322.9042513742356,65.67673357691697,260.94488562402086,14.524760404372378,14.497401584975886
