feature,count
tab_emb181,13
tab_emb186,13
tab_emb185,13
tab_emb97,13
tab_emb120,13
tab_emb124,12
tab_emb107,12
tab_emb189,12
tab_emb108,12
tab_emb178,12
tab_emb85,12
tab_emb188,12
tab_emb87,12
tab_emb160,12
tab_emb171,12
tab_emb177,11
tab_emb113,11
tab_emb111,11
tab_emb173,11
tab_emb176,11
tab_emb106,11
tab_emb154,11
tab_emb155,11
tab_emb33,11
tab_emb84,11
tab_emb64,11
tab_emb163,11
tab_emb70,11
tab_emb190,11
tab_emb187,11
tab_emb91,11
tab_emb191,11
tab_emb69,11
tab_emb170,11
tab_emb68,11
tab_emb62,11
tab_emb180,11
tab_emb175,11
tab_emb67,11
tab_emb149,11
tab_emb172,10
tab_emb169,10
tab_emb151,10
tab_emb129,10
tab_emb162,10
tab_emb41,10
tab_emb147,10
tab_emb135,10
tab_emb66,10
tab_emb130,10
tab_emb112,10
tab_emb183,10
tab_emb109,10
tab_emb167,10
tab_emb61,10
tab_emb131,10
tab_emb92,10
tab_emb184,10
tab_emb59,10
tab_emb46,10
tab_emb158,10
tab_emb152,10
tab_emb53,10
tab_emb114,10
tab_emb179,10
tab_emb8,10
tab_emb104,10
tab_emb150,10
tab_emb164,10
tab_emb192,10
tab_emb115,10
tab_emb138,10
tab_emb79,10
tab_emb146,10
tab_emb121,10
tab_emb159,10
tab_emb136,10
tab_emb119,10
tab_emb110,10
tab_emb122,10
tab_emb105,10
tab_emb63,10
tab_emb132,10
tab_emb134,10
tab_emb94,9
tab_emb12,9
tab_emb27,9
tab_emb153,9
tab_emb116,9
tab_emb139,9
tab_emb93,9
tab_emb25,9
tab_emb82,9
tab_emb21,9
tab_emb98,9
tab_emb156,9
tab_emb9,9
tab_emb117,9
tab_emb161,9
tab_emb101,9
tab_emb182,9
tab_emb123,9
tab_emb141,9
tab_emb36,9
tab_emb49,9
tab_emb143,9
tab_emb57,9
tab_emb14,9
tab_emb65,9
tab_emb174,9
tab_emb74,9
tab_emb73,9
tab_emb157,9
tab_emb127,9
tab_emb37,9
tab_emb58,9
tab_emb166,9
tab_emb142,9
tab_emb55,9
tab_emb118,9
tab_emb126,9
tab_emb52,9
tab_emb34,9
tab_emb15,9
tab_emb42,9
tab_emb125,9
tab_emb20,9
tab_emb144,9
tab_emb31,8
tab_emb140,8
tab_emb5,8
tab_emb99,8
tab_emb95,8
tab_emb165,8
tab_emb76,8
tab_emb23,8
tab_emb96,8
tab_emb4,8
tab_emb89,8
tab_emb10,8
tab_emb90,8
tab_emb24,8
tab_emb60,8
tab_emb7,8
tab_emb137,8
tab_emb22,8
tab_emb100,8
tab_emb71,8
tab_emb18,8
tab_emb39,8
tab_emb40,8
tab_emb145,8
tab_emb75,8
tab_emb72,8
tab_emb83,8
tab_emb26,8
tab_emb48,8
tab_emb88,8
tab_emb44,8
tab_emb78,8
tab_emb54,8
tab_emb28,8
tab_emb56,8
tab_emb45,7
tab_emb86,7
tab_emb47,7
tab_emb168,7
tab_emb16,7
tab_emb2,7
tab_emb133,7
tab_emb80,7
tab_emb3,7
tab_emb11,7
tab_emb30,7
tab_emb38,7
tab_emb29,7
tab_emb51,7
tab_emb43,7
tab_emb128,7
tab_emb103,7
tab_emb17,7
tab_emb6,7
tab_emb32,7
tab_emb1,7
tab_emb77,7
tab_emb35,6
tab_emb13,6
tab_emb148,6
tab_emb81,6
tab_emb50,6
tab_emb102,6
tab_emb19,5
