run,selected_total_features,selected_tab_count,selected_img_count,tab_%_within_selected,img_%_within_selected,tab_%_of_all_tab_features,img_%_of_all_img_features,total_%_of_all_features
exp_2026-02-19 18:07:14.928954,159.0,20.0,139.0,12.579,87.421,10.417,18.099,16.562
exp_2026-02-19 18:34:26.763283,200.0,26.0,174.0,13.0,87.0,13.542,22.656,20.833
exp_2026-02-19 19:08:51.912591,226.0,138.0,88.0,61.062,38.938,71.875,11.458,23.542
exp_2026-02-19 19:42:07.262686,835.0,168.0,667.0,20.12,79.88,87.5,86.849,86.979
exp_2026-02-19 20:25:22.875469,22.0,18.0,4.0,81.818,18.182,9.375,0.521,2.292
exp_2026-02-19 21:06:31.084920,960.0,192.0,768.0,20.0,80.0,100.0,100.0,100.0
exp_2026-02-19 21:26:19.120996,573.0,81.0,492.0,14.136,85.864,42.188,64.062,59.688
exp_2026-02-19 21:52:48.943097,123.0,24.0,99.0,19.512,80.488,12.5,12.891,12.812
exp_2026-02-19 22:11:13.347949,111.0,26.0,85.0,23.423,76.577,13.542,11.068,11.562
exp_2026-02-19 22:40:39.889969,150.0,24.0,126.0,16.0,84.0,12.5,16.406,15.625
exp_2026-02-19 23:01:01.531435,237.0,73.0,164.0,30.802,69.198,38.021,21.354,24.688
exp_2026-02-19 23:48:00.691485,960.0,192.0,768.0,20.0,80.0,100.0,100.0,100.0
exp_2026-02-20 00:12:11.678387,221.0,21.0,200.0,9.502,90.498,10.938,26.042,23.021
exp_2026-02-20 00:45:43.621250,147.0,30.0,117.0,20.408,79.592,15.625,15.234,15.312
exp_2026-02-20 01:13:51.427866,46.0,3.0,43.0,6.522,93.478,1.562,5.599,4.792
exp_2026-02-20 01:50:39.609748,948.0,189.0,759.0,19.937,80.063,98.438,98.828,98.75
exp_2026-02-20 02:28:20.670473,455.0,126.0,329.0,27.692,72.308,65.625,42.839,47.396
exp_2026-02-20 02:52:31.645709,207.0,39.0,168.0,18.841,81.159,20.312,21.875,21.562
exp_2026-02-20 03:22:30.109961,200.0,21.0,179.0,10.5,89.5,10.938,23.307,20.833
exp_2026-02-20 04:07:19.136917,559.0,115.0,444.0,20.572,79.428,59.896,57.812,58.229
exp_2026-02-20 04:49:26.850849,383.0,71.0,312.0,18.538,81.462,36.979,40.625,39.896
exp_2026-02-20 05:28:59.372090,110.0,32.0,78.0,29.091,70.909,16.667,10.156,11.458
exp_2026-02-20 06:11:44.135906,540.0,105.0,435.0,19.444,80.556,54.688,56.641,56.25
exp_2026-02-20 06:50:15.391717,125.0,25.0,100.0,20.0,80.0,13.021,13.021,13.021
exp_2026-02-20 07:20:49.967629,960.0,192.0,768.0,20.0,80.0,100.0,100.0,100.0
exp_2026-02-20 08:10:11.135320,361.0,61.0,300.0,16.898,83.102,31.771,39.062,37.604
exp_2026-02-20 08:51:38.553628,578.0,101.0,477.0,17.474,82.526,52.604,62.109,60.208
exp_2026-02-20 09:15:00.548801,960.0,192.0,768.0,20.0,80.0,100.0,100.0,100.0
exp_2026-02-20 10:20:21.517933,529.0,117.0,412.0,22.117,77.883,60.938,53.646,55.104
exp_2026-02-20 10:45:22.003571,733.0,149.0,584.0,20.327,79.673,77.604,76.042,76.354
MEAN,420.6,85.7,334.9,22.344,77.656,44.636,43.607,43.812
STD,318.886,65.697,257.769,14.592,14.592,34.217,33.564,33.217
